sid,name,state,pre_avg,post_avg,delta,pre_n_avg,asn_share,asn_pre,asn_post,asn_delta,wht_pre,wht_post,wht_delta,ecd_pre,ecd_post,ecd_delta
3904812,Avon Lake City,OH,0.7481739131479764,0.6028380280169171,-0.14533588513105933,272.77777777777777,0.0,,,,0.761047471132228,0.6741507262201446,-0.08689674491208343,0.25206136209627095,0.0514927588043087,-0.20056860329196224
2512600,Westborough,MA,0.7166052388859111,0.5715941672954216,-0.14501107159048954,293.22222222222223,0.37542662116040953,0.8756707104409305,0.8721296188850362,-0.0035410915558943268,0.7359749113908394,0.5669439894518048,-0.16903092193903457,0.19959815647058649,-0.2993563388824664,-0.49895449535305286
2714220,Eden Prairie Public School District,MN,0.5205494117601078,0.3763182482411375,-0.1442311635189703,632.3333333333334,0.1511321748288573,0.8160260337886049,0.7900082064977769,-0.02601782729082802,0.718047391529671,0.6104198135791629,-0.10762757795050815,-0.16062112974218817,-0.3150193923318474,-0.15439826258965922
3410110,Middletown Township Public School District,NJ,0.4813981091609517,0.3372716438275978,-0.14412646533335394,709.2222222222222,0.0097340930674264,0.7393689136384568,,,0.5011362325976229,0.3503124715747597,-0.15082376102286316,-0.12204263869206944,-0.2633967960166936,-0.14135415732462414
1201740,St. Johns,FL,0.6477979446231137,0.5040882255509243,-0.14370971907218943,3006.222222222222,0.053248949751759506,1.0462761546152792,0.8239847896901638,-0.22229136492511548,0.6925458567135124,0.5366902317259707,-0.15585562498754169,0.1516324667604166,0.08371737220749924,-0.06791509455291737
2508700,North Andover,MA,0.5451756428845995,0.4015110623520437,-0.14366458053255582,359.22222222222223,0.07096474953617811,0.8342782011632203,0.706910718447656,-0.1273674827155643,0.5942117650901083,0.4896549583782958,-0.1045568067118125,0.002705612568236688,-0.16280891068411074,-0.16551452325234742
3905042,Springboro Community City,OH,0.6147118478308289,0.4713258434249252,-0.1433860044059037,451.77777777777777,0.0,,0.8287076324053524,,0.6187290838838907,0.48415994012748786,-0.13456914375640283,0.059243379009339764,-0.215988158200668,-0.27523153721000776
2509420,Pembroke,MA,0.5447893476266699,0.4020541181081296,-0.14273522951854029,209.66666666666666,0.0,,,,0.5498787216523708,0.42126973947021945,-0.1286089821821514,0.30869351005084794,0.0320027344045862,-0.27669077564626177
5605695,Sheridan County School District #2,WY,0.6987108009201486,0.5563023560877828,-0.1424084448323658,288.44444444444446,0.0,,,,0.7224823359948286,0.5880288866166917,-0.13445344937813686,0.4299598952645118,0.27973780046918073,-0.15022209479533105
3904539,Granville Exempted Village,OH,0.7389265501798444,0.5970052421252849,-0.1419213080545595,185.44444444444446,0.0,,,,0.742531097119725,0.6314783567649633,-0.11105274035476165,,,
