district,subgroup,pre_2017_19,post_2022_25,delta
Kuna Joint,All,-0.1879,-0.2178,-0.0299
Kuna Joint,White,-0.1352,-0.1144,0.0208
Kuna Joint,Hispanic,-0.4864,-0.6049,-0.1184
Kuna Joint,EconDis,-0.4488,-0.5550,-0.1062
Kuna Joint,Not-ECD,0.0010,-0.0463,-0.0473
Pierre SD,All,0.1357,0.0883,-0.0474
Pierre SD,White,0.3452,0.3229,-0.0223
Pierre SD,EconDis,-0.3576,-0.5516,-0.1940
Pierre SD,Not-ECD,0.3814,0.3291,-0.0523
Starkville-Oktibbeha,All,-0.1942,-0.1511,0.0431
